val,tag
paperless,ATTR
edg,MODEL
inelig,ATTR
month,FREQUENCY
unblock,STATE
gb,ATTR
gegbyt,ATTR
payoff,ATTR
etf,ATTR
overcharg,TRX
privat,ATTR
e-mail,ATTR
in-stor,CHANNEL
program,CONCEPT
swap,ACTCHG
g5,MODEL
g3,MODEL
email address,ATTR
prepaid,ATTR
postpaid,ATTR
bar,ATTR
speed,ATTR
dollar,CURR
debit,TRX
voic,SERVICE
ident,ATTR
cellular,CONCEPT
button,ATTR
restor,STATE
list,REF
verif,PROCESS
htc,COMPANY
sign,ACTBUY
past,PSTEN
sad,NEGATION
unaccept,NEGATION
aw,NEGATION
street,ADDR
alfr,ADDR
factory reset,ATTR
access,ATTR
new,ATTR
3g,ATTR
method,ATTR
ongo,PRTEN
traded-in,ACTCHG
pay off,ATTR
india,ADDR
simcard,OBJECT
address,ATTR
waiv,ATTR
valu,ATTR
preorder,ACTBUY
daughter,RELA
outag,ISSUE
broken,ISSUE
unabl,ISSUE
fwd,FRTEN
interupt,ISSUE
credit,TRX
amount,ATTR
chang,ACTCHG
believ,ASSUMPTION
counti,ADDR
solut,ACTION
app,CHANNEL
sim card,OBJECT
apt,ADDR
avenu,ADDR
t-mobil,COMPANY
purchas,ACTBUY
instal,CONCEPT
mobil,OBJECT
fee,ATTR
dont work,ISSUE
usa,ADDR
regist,ATTR
upgrad,ACTCHG
coverag,ATTR
next,FRTEN
websit,CHANNEL
process,ACTION
live,ADDR
usp,COMPANY
crapped out,ISSUE
reorder,ACTBUY
pro-rat,PSTEN
son,RELA
tax,ATTR
swappabl,ACTCHG
phone,OBJECT
cell,OBJECT
expedit,ATTR
hold,ATTR
how much,ACTINFO
account,CONCEPT
g,MODEL
hous,ADDR
local,LOC
setup,PROCESS
work,CONCEPT
remain,ATTR
protection plan,SERVICE
didnt,NEGATION
16gb,MEM
employe,ATTR
claim,PROCESS
scam,ISSUE
tab,OBJECT
nexus,BRAND
share,ATTR
return cal,ACTION
csrs,ROLE
want,ACTION
onlin,CHANNEL
end,ATTR
secur,ATTR
security quest,ATTR
s7,MODEL
s6,MODEL
s4,MODEL
disappoint,EMOTION
sim,OBJECT
updat,ACTCHG
max,CONCEPT
lag,ISSUE
wrong,ISSUE
date,ATTR
law,FACT
associ,REF
accessori,OBJECT
shippin,ATTR
lost,ISSUE
scare,EMOTION
issu,ISSUE
switch,ACTCHG
block,STATE
allow,ACTION
travel,ADDR
se,MODEL
refund,ATTR
elig,ATTR
consent,ASSERTION
galaxi,BRAND
trade,ACTCHG
auto pay,ATTR
lg,COMPANY
doesnt work,ISSUE
disconnect,STATE
ln,ADDR
fix,ACTION
late,PRTEN
offic,ADDR
s4s,MODEL
mail,ATTR
dad,RELA
pass word,ATTR
auto,ATTR
initi,ATTR
yr,PERIOD
complain,ISSUE
famili,PLTYPE
name,ATTR
drop,ISSUE
2g,ATTR
status,STATE
mysprint,CHANNEL
256gb,MEM
procedur,PROCESS
hostpot,SERVICE
autopay,ATTR
connect,ATTR
best buy,COMPANY
horribl,EMOTION
surcharg,ATTR
customer servic,FUNCTION
salesman,ROLE
network,SERVICE
blu,COMPANY
open,STATE
rep,ROLE
reboot,ACTION
boot,ACTION
tomorrow,TIMELINE
rd,ADDR
7,MODEL
internet,SERVICE
correct,ASSERT
qualifi,CONCEPT
puk,ATTR
friday,DATE
free,ATTR
york,ADDR
ask,ACTINFO
wi-fi,SERVICE
card,OBJECT
financi,ATTR
att,COMPANY
place,ADDR
transfer,ACTION
today,PRTEN
think,ASSUMPTION
south,ADDR
first,ATTR
suspend,STATE
reinstat,STATE
dont,NEGATION
add on,ATTR
number,ATTR
owner,ROLE
acct,CONCEPT
miss,ISSUE
primari,ATTR
data,SERVICE
system,OBJECT
messag,SERVICE
citi,ADDR
2,MODEL
statement,ATTR
termin,ACTCHG
store,CHANNEL
gear,OBJECT
park,ADDR
blacklist,ATTR
checking account,CONCEPT
on-sit,CHANNEL
holder,ATTR
ipad,OBJECT
ste,ADDR
provid,ACTINFO
remov,ACTCHG
6gb,MEM
cost,CURR
balanc,ATTR
employee discount,ATTR
minut,ATTR
toward,REF
comput,OBJECT
terribl,NEGATION
tech person,ROLE
packag,OBJECT
rent,CONCEPT
deliv,ATTR
st,ADDR
subsid,ATTR
afraid,EMOTION
min,CONCEPT
note,BRAND
concern,ISSUE
regard,REF
insur,CONCEPT
waranti,CONCEPT
usernam,ATTR
price,CURR
whi,REASON
paid,TRX
visa,COMPANY
plan,OBJECT
icloud,SERVICE
transcript,ATTR
payment,ATTR
charg,ATTR
long dist,SERVICE
alcatel,COMPANY
later,PSTEN
upset,EMOTION
drive,ADDR
order,ACTBUY
shop,ACTION
ridicul,NEGATION
text,SERVICE
current,PRTEN
locat,ATTR
transact,ATTR
configur,PROCESS
activ,ACTCHG
3,MODEL
black,ATTR
discontinu,ACTCLS
vigor,BRAND
earbud,OBJECT
stop,STATE
meid,ATTR
amazon,COMPANY
cannot,NEGATION
yes,ASSERT
restart,ATTR
enabl,STATE
tech support,FUNCTION
area cod,ATTR
steal,ACTION
husband,RELA
specialist,ROLE
j3,MODEL
fail,ISSUE
close,ACTCLS
state,ADDR
experi,FACT
email,ATTR
piss,EMOTION
never,NEGATION
not work,ISSUE
airav,OBJECT
addit,ATTR
extra,ATTR
protect,SERVICE
accident,ISSUE
last,PSTEN
tmobil,COMPANY
oversea,LOC
contract,ATTR
postpaid,ATTR
polici,FACT
sales rep,ROLE
countri,LOC
login,ATTR
load,PROCESS
revers,TRX
color,ATTR
down grad,ACTCHG
cancel,ACTCLS
unsubscrib,ACTCLS
damag,ISSUE
unsuccess,NEGATION
west,ADDR
devic,OBJECT
due,ATTR
enrol,PROCESS
ph,OBJECT
immedi,PRTEN
life,ATTR
verizon,COMPANY
64gb,MEM
6s,MODEL
case,OBJECT
stolen,ISSUE
<phone>< phone>,OBJECT
servic,CONCEPT
bill,ATTR
n,ADDR
technical support,FUNCTION
error,ISSUE
eligibilti,ATTR
garag,ADDR
chat,ATTR
mexico,ADDR
site,LOC
moto,BRAND
cant,NEGATION
ave,ADDR
id,ATTR
disabl,STATE
author,ATTR
pay,ATTR
hot spot,SERVICE
chatroom,ATTR
android,ATTR
ios,ATTR
document,FACT
complet,STATE
week,PERIOD
screenshot,FACT
assist,ROLE
yesterday,PSTEN
buyback,CONCEPT
kit,CONCEPT
capabl,ATTR
portal,CHANNEL
tribut,BRAND
3gb,ATTR
recent,PRTEN
philippin,COUNTRY
airwav,OBJECT
person,ATTR
2gb,ATTR
contact,ATTR
model,ATTR
modem,OBJECT
latest,PRTEN
money,CURR
yes,ASSERTION
previous,PSTEN
t mobil,COMPANY
boost,COMPANY
$,CURR
tablet,OBJECT
lake,ADDR
5s,MODEL
day,PERIOD
cc,CRECARD
add,ACTCHG
4,MODEL
crack,ISSUE
east,ADDR
march,ATTR
webpag,CHANNEL
arriv,ATTR
6se,MODEL
mom,RELA
imei,ATTR
password,ATTR
motorola,COMPANY
serial numb,ATTR
success,ASSERTION
corpor,ATTR
signal,ATTR
resolv,STATE
lose,ACTCLS
tower,OBJECT
manag,ROLE
deduct,ATTR
overdraft,ISSUE
old,PSTEN
deal,ACTBUY
batteri,OBJECT
intern,ATTR
home,ADDR
sprint,COMPANY
doorstep,ADDR
friend,RELA
confirm,ASSERTION
pick up,ATTR
legal,PROCESS
leas,CONCEPT
reactiv,PROCESS
leav,ACTION
power,ATTR
usag,ATTR
agreement,CONCEPT
discount,ATTR
patienc,EMOTION
promo,ATTR
benefit,ATTR
promot,ATTR
at&t,COMPANY
post,FRTEN
paid off,ATTR
complimentari,ATTR
carrier,ISSUE
roam,SERVICE
1gb,ATTR
road,ADDR
repair,SERVICE
owe,ATTR
pre ord,ATTR
tortur,EMOTION
automat,PROCESS
iphon,BRAND
late fe,ATTR
storag,ATTR
wife,RELA
frustrat,NEGATION
appt,ADDR
question,ACTINFO
gig,ATTR
start,ATTR
appl,COMPANY
includ,ACTCHG
way,ADDR
hassl,ISSUE
deliveri,ATTR
buy,ACTBUY
north,ADDR
offer,ATTR
6,MODEL
wireless,SERVICE
care team,FUNCTION
line,SERVICE
pain,ISSUE
reset,ACTION
inquir,ACTINFO
caller,ATTR
call,CONCEPT
unlock,ATTR
lock,ISSUE
record,FACT
limit,CONCEPT
paper stat,ATTR
problem,ISSUE
display,ATTR
featur,ATTR
supervisor,ROLE
ad,ACTCHG
pin,ATTR
internet access,SERVICE
year,PERIOD
repres,ROLE
exist,PRTEN
file,ATTR
iccid,ATTR
ship,ATTR
check,ACTINFO
incorrect,NEGATION
googl,COMPANY
ny,ADDR
valid,ACTION
5,MODEL
aircard,OBJECT
unlimit,ATTR
monday,DATE
netgear,COMPANY
re-evalu,ACTCHG
weekend,ATTR
ago,PSTEN
lane,ADDR
e,ADDR
samsung,COMPANY
wifi,SERVICE
zip cod,ADDR
4s,MODEL
memory card,OBJECT
emerg,ATTR
time,ATTR
initi,ATTR
insurance,ATTR
cover,ATTR
student,ATTR
edu,ATTR
prorat,ATTR
fraud.RISK
fraudul,RISK
hack,RISK
cart,ACTBUY
send,ACTION
get,ACTION
got,PSTEN
went,PSTEN
go,PRTEN
extend,ACTION
extens,ACTION
feder,GOVT
marin,GOVT
militari,GOVT
veteran,GOVT
spotifi,SERVICE
expens,ISSUE
sick,ISSUE
tire,ISSUE
recoveri,ISSUE
root,ISSUE
angri,NEGATION
low,QUANTI
lower,QUANTI
high,QUANTI
higher,QUANTI
total,QUANTI
averag,QUANTI
less,QUANTI
lot,QUANTI
reduc,QUANTI
save,QUANTI
cheap,QUANTI
slow,QUANTI
fast,QUANTI
